,obj_id,area[ha],ativo[ha],coda,mean[$/ha],ecoserv,prob_deforest,price[$]
6221,288627,15.561,4.53917224,1,4304.5,0.49901984200000005,0.0,66982.3245
4272,233529,27.4055,5.28386716,1,2447.1,0.570544332,0.7510040159999999,67063.99905
6366,290781,15.6761,9.88816751,1,4297.1,0.504685276,0.0,67361.76931
5817,280113,27.6578,17.94987259,1,2439.7,0.5410956889999999,0.0,67476.73466
5429,266739,17.5986,7.53570596,1,3867.9,0.487297022,0.0,68069.62494
13179,702650,25.829,13.788852800000003,1,2654.3,0.351421993,0.7510040159999999,68557.9147
16199,840460,28.127,18.28257405,1,2439.7,0.506138248,0.108433735,68621.4419
15352,770066,27.9061,3.13898814,1,2461.9,0.569698926,0.0,68702.02759
19605,1011556,28.3123,3.403008455,2,2439.7,0.535521634,0.0,69073.51831
9685,458659,16.0995,9.46465433,2,4311.9,0.477549451,0.0,69419.43405
5918,281709,16.1531,7.413826355,1,4311.9,0.5594424370000001,0.0,69650.55189
12843,688270,9.82667,6.387335305,1,7110.0,0.489588675,0.36144578299999996,69867.6237
6028,286357,16.6388,10.76072166,1,4208.3,0.491642043,0.0,70021.06204
13100,700762,28.5957,12.42685436,1,2454.5,0.504956295,0.0,70188.14565
13099,700740,28.5427,5.9658583,1,2461.9,0.49723609399999996,0.0,70269.27313
13159,702216,25.8192,0.19917039,1,2735.7,0.508523418,0.951807229,70633.58544
4344,237147,28.3165,2.93542882,1,2498.9,0.482315311,0.0,70760.10185
16107,835206,9.62832,4.91196797,1,7360.0,0.57381085,0.0,70864.4352
13436,707222,25.4744,16.38240565,1,2802.3,0.47931096,0.172690763,71386.91112
6189,288643,17.561,11.39198743,1,4089.6,0.48414353200000004,0.710843373,71817.4656
12715,683852,28.1578,6.254562015,1,2565.5,0.436128785,0.0,72238.8359
5752,279955,17.0185,8.227571795,1,4274.9,0.574828122,0.939759036,72752.38565
6676,300129,29.3079,17.04794645,1,2484.1,0.500032013,0.0,72803.75439
